ID,Type,SKU,Name,Published,Visibility in catalogue,Short description,Description,In stock?,Regular price,Categories,Images,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
,variation,,Fondant/Ganache - 10 INCH,1,visible,,,1,13500.00,,,id:2228,4,Size,10 INCH,,0
,variation,,Fondant/Ganache - 12 INCH,1,visible,,,1,15000.00,,,id:2228,5,Size,12 INCH,,0
,variation,,Fondant/Ganache - 14 INCH,1,visible,,,1,16500.00,,,id:2228,6,Size,14 INCH,,0
2470,simple,,2 Cupcakes DIY Kit,1,visible,2 cupcakes 2 colors of buttercream 2 kinds of sprinkles 2 fondant toppers Design guide Kit Checklist,,1,350.00,DIY Cake & Cupcake,,,0,,,,
1333,simple,,4 Cupcakes DIY Kit,1,visible,4 cupcakes 4 colors of buttercream 3 kinds of sprinkles 4 sets of fondant toppers Design guide Kit Checklist,,1,550.00,DIY Cake & Cupcake,,,0,,,,
1340,simple,,DIY Cake Kit,1,visible,Blank bento cake 3 colors buttercream Sprinkles 1 spatula Fondant toppers Cardstock toppers,,1,700.00,DIY Cake & Cupcake,,,0,,,,
1344,simple,,DIY Piñata Kit,1,visible,1 chocolate piñata wooden mallet marshmallows and meringue 4 cupcakes 4 colors of buttercream 3 kinds of sprinkles 4 sets of fondant toppers design guide kit checklist,,1,1100.00,DIY Cake & Cupcake,,,0,,,,
1996,simple,,2D Cake Bouquet,1,visible,"Cupcakes in the form of a gorgeous bouquet! 12 cupcakes((maximum of 2 flavors), with a collor scheme of your choice. Comes with a ribbon and card.",,1,2500.00,Seasonal Occassions,,,0,,,,
1979,variable,,3D Cupcake Bouquet,1,visible,"7 Cupcakes(1 Flavor), with a color scheme of your choice. Comes in a box with a ribbon and card. Flavors: Red Velvet, Chocolate or Butter.",,1,,Seasonal Occassions,,,0,Size,"53pcs, 7pcs, 12pcs, 19pcs, 30pcs",1,0
,variation,,3D Cupcake Bouquet - 53pcs,1,visible,,,1,11500.00,,,id:1979,1,Size,53pcs,,0
,variation,,3D Cupcake Bouquet - 7pcs,1,visible,,,1,1500.00,,,id:1979,2,Size,7pcs,,0
,variation,,3D Cupcake Bouquet - 12pcs,1,visible,,,1,2500.00,,,id:1979,3,Size,12pcs,,0
,variation,,3D Cupcake Bouquet - 19pcs,1,visible,,,1,4000.00,,,id:1979,4,Size,19pcs,,0
,variation,,3D Cupcake Bouquet - 30pcs,1,visible,,,1,6500.00,,,id:1979,5,Size,30pcs,,0
2427,simple,,Bento Party,1,visible,"A 4″ bento cake surrounded by 8 assorted cupcakes, especially designed for Mother’s Day!",,1,2000.00,"Seasonal Occassions, Customize Cakes",bento-party.webp,,0,,,,
2413,variable,BOC,Box of Cupcakes,1,visible,"A box of delicious Mother’s Day themed cupcakes. Flavors: Chocolate, Red Velvet, Chocolate Chip Carrot, Oreo Surprise and Butter.",,1,,Seasonal Occassions,box-of-cupcakes.webp,,0,Size,"4 PCS, 6 PCS",1,0
,variation,,Box of Cupcakes - 4 PCS,1,visible,,,1,900.00,,,id:2413,1,Size,4 PCS,,0
,variation,,Box of Cupcakes - 6 PCS,1,visible,,,1,1350.00,,,id:2413,2,Size,6 PCS,,0
2443,simple,,Bubble Balloon Cake,1,visible,"10 Inch Mother’s day Bubble balloon paired with a lovely 8-inch floral cake. Flavors: Red Velvet, Chocolate, Carrot, Ube, or Dark Roast Coffee.",,1,2500.00,Seasonal Occassions,bubble-balloon-cake.webp,,0,,,,
1992,variable,,Cake Bouquet,1,visible,"Buttercream cake, wrapped and packaged like a bouquet. Flavors: Chocolate, Red Velvet, Chocolate Chip, or Carrot.",,1,,"Seasonal Occassions, Customize Cakes",,,0,Size,"6 INCH, 8 INCH",1,0
,variation,,Cake Bouquet - 6 INCH,1,visible,,,1,3500.00,,,id:1992,1,Size,6 INCH,,0
,variation,,Cake Bouquet - 8 INCH,1,visible,,,1,4500.00,,,id:1992,2,Size,8 INCH,,0
1975,simple,,Cake Pop Bouquet,1,visible,"6 cake pops, decorated for valentine’s day and wrapped in a bouquet. Flavors: Red Velvet, Butter, or Chocolate.",,1,700.00,Seasonal Occassions,,,0,,,,
2437,simple,,Cakes & Flowers Box,1,visible,"4-inch custom floral bento cake with a beautiful mini bouquet of fresh or dried flowers. Flavors: Red Velvet, Chocolate, Carrot, Ube, or Dark Roast Coffee.",,1,2500.00,Seasonal Occassions,cakes-and-flower-box.webp,,0,,,,
2442,simple,,Flower Pot Cake,1,visible,"A charming pink mini cake designed like a flower pot, topped with a delicate rose sweet, elegant, and perfect for Mother’s day. Flavors: Red Velvet, Chocolate, Carrot, Ube, or Dark Roast Coffee.",,1,1000.00,Seasonal Occassions,flowerpot-cake.webp,,0,,,,
2433,simple,,Monogram Cupcakes,1,visible,"5-7 cupcakes in your choice of colors, customized in a letter or number, mixed with cake pops and an assortment of treats! Flavors: Red Velvet, Chocolate, Carrot, Ube, or Dark Roast Coffee Custom box 7 days leadtime",,1,2500.00,Seasonal Occassions,monogram-cupcakes.webp,,0,,,,
2423,simple,,Piñata Dessert Box,1,visible,"A Chocolate heart piñata filled with delectable treats, surrounded by chocolates, cakesicles and sugar cookies!",,1,3000.00,Seasonal Occassions,pinata-dessert-box.webp,,0,,,,
